Toma,Actor 1,Actor 2,Actor 3,Actor 4,Actor 5,Actor 6,Actor 7,Actor 8,Actor 9,Actor 10,ActoresPorToma
1,1,1,1,1,1,0,0,0,0,0,5
2,0,0,1,1,1,0,0,0,0,0,3
3,0,1,0,0,1,0,1,0,0,0,3
4,1,1,0,0,0,0,1,1,0,0,4
5,0,1,0,1,0,0,0,1,0,0,3
6,1,1,0,1,1,0,0,0,0,0,4
7,1,1,0,1,1,0,0,0,0,0,4
8,1,1,0,0,0,1,0,0,0,0,3
9,1,1,0,1,0,0,0,0,0,0,3
10,1,1,0,0,0,1,0,0,1,0,4
11,1,1,1,0,1,0,0,1,0,0,5
12,1,1,1,1,0,1,0,0,0,0,5
13,1,0,0,1,1,0,0,0,0,0,3
14,1,0,1,0,0,1,0,0,0,0,3
15,1,1,0,0,0,0,1,0,0,0,3
16,0,0,0,1,0,0,0,0,0,1,2
17,1,0,1,0,0,0,0,0,0,0,2
18,0,0,1,0,0,1,0,0,0,0,2
19,1,0,1,0,0,0,0,0,0,0,2
20,1,0,1,1,1,0,0,0,0,0,4
21,0,0,0,0,0,1,0,1,0,0,2
22,1,1,1,1,0,0,0,0,0,0,4
23,1,0,1,0,0,0,0,0,0,0,2
24,0,0,1,0,0,1,0,0,0,0,2
25,1,1,0,1,0,0,0,0,0,1,4
26,1,0,1,0,1,0,0,0,1,0,4
27,0,0,0,1,1,0,0,0,0,0,2
28,1,0,0,1,0,0,0,0,0,0,2
29,1,0,0,0,1,1,0,0,0,0,3
30,1,0,0,1,0,0,0,0,0,0,2
